Agent,Queue Name,Time Agent Logged In,Total Time Unavailable,Wrap-up Time,Avg. Wrap-up Time,Total Calls Handled,Avg. Talk Time,Total Talk Time,Calls Transferred,AVG. Hold Time,Occupancy %,Idle Time,Total Calls Not Accepted,Logged Out Time,Total Time Logged In
Cardiology,00:00:55,00:00:00,00:08:27,00:00:21,0,00:00:00,00:00:00,0,00:00:00,100,13:56:46,0,15:25:59,15:25:59
Priority,00:00:55,00:00:00,00:08:27,00:00:21,0,00:00:00,00:00:00,0,00:00:00,100,13:56:46,0,15:25:59,15:25:59
Cardiology,13:00:32,00:05:12,00:00:47,00:00:11,0,00:00:00,00:00:00,0,00:00:00,68.55,00:04:51,0,15:25:59,15:25:59
Priority,13:00:32,00:05:12,00:00:47,00:00:11,0,00:00:00,00:00:00,0,00:00:00,68.55,00:04:51,0,15:25:59,15:25:59
Cardiology,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:57,15:25:57
Priority,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:57,15:25:57
Cardiology,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:58,15:25:58
Priority,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:58,15:25:58
Emergency Dept,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:58,15:25:58
Maternity Ward,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:58,15:25:58
Emergency Dept,10:48:38,00:00:00,00:00:00,00:00:00,15,00:00:37,00:09:16,8,00:00:01,100,02:05:37,0,15:25:58,15:25:58
Maternity Ward,10:48:38,00:00:00,00:00:00,00:00:00,8,00:02:43,00:21:45,3,00:00:01,100,02:05:37,0,15:25:58,15:25:58
Emergency Dept,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:57,15:25:57
Maternity Ward,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:57,15:25:57
Maternity Ward,,00:00:00,00:00:00,00:00:00,0,00:00:00,00:00:00,0,00:00:00,,00:00:00,0,15:25:57,15:25:57
